step,suceptible_status,infected_status,recovered_status,vaccinated_status
317,371,629,0,0
318,367,633,0,0
319,359,641,0,0
320,357,643,0,0
321,352,648,0,0
322,345,655,0,0
323,344,656,0,0
324,342,658,0,0
325,340,660,0,0
326,334,666,0,0
327,333,667,0,0
328,329,671,0,0
329,324,676,0,0
330,320,680,0,0
331,315,685,0,0
332,307,693,0,0
333,303,697,0,0
334,301,699,0,0
335,298,702,0,0
336,296,704,0,0
337,289,711,0,0
338,285,715,0,0
339,280,720,0,0
340,277,723,0,0
341,273,727,0,0
342,269,731,0,0
343,263,737,0,0
344,259,741,0,0
345,256,744,0,0
346,252,748,0,0
347,249,751,0,0
348,244,756,0,0
349,241,759,0,0
350,238,762,0,0
351,233,767,0,0
352,230,770,0,0
353,223,777,0,0
354,222,778,0,0
355,221,779,0,0
356,215,785,0,0
357,212,788,0,0
358,208,792,0,0
359,203,797,0,0
360,200,800,0,0
361,198,802,0,0
362,195,805,0,0
363,186,814,0,0
364,183,817,0,0
365,182,818,0,0
366,179,821,0,0
367,177,823,0,0
368,176,824,0,0
369,173,827,0,0
370,169,831,0,0
371,166,834,0,0
372,164,836,0,0
373,161,839,0,0
374,160,840,0,0
375,158,842,0,0
376,156,844,0,0
377,154,846,0,0
378,152,848,0,0
379,150,850,0,0
380,149,851,0,0
381,146,854,0,0
382,144,856,0,0
383,142,858,0,0
384,139,861,0,0
385,138,862,0,0
386,136,864,0,0
387,133,867,0,0
388,131,869,0,0
389,127,873,0,0
390,127,873,0,0
391,125,875,0,0
392,125,875,0,0
393,124,876,0,0
394,124,876,0,0
395,124,876,0,0
396,122,878,0,0
397,120,880,0,0
398,118,882,0,0
399,117,883,0,0
400,114,886,0,0
401,114,886,0,0
402,113,887,0,0
403,108,892,0,0
404,104,896,0,0
405,102,898,0,0
406,101,899,0,0
407,98,902,0,0
408,97,903,0,0
409,97,903,0,0
410,95,905,0,0
411,94,906,0,0
412,93,907,0,0
413,90,910,0,0
414,88,912,0,0
415,87,913,0,0
416,87,913,0,0
417,86,914,0,0
418,86,914,0,0
419,82,918,0,0
420,81,919,0,0
421,80,920,0,0
422,80,920,0,0
423,79,921,0,0
