step,suceptible_status,infected_status,recovered_status,vaccinated_status
0,999,1,0,0
1,999,1,0,0
2,999,1,0,0
3,999,1,0,0
4,999,1,0,0
5,999,1,0,0
6,998,2,0,0
7,998,2,0,0
8,998,2,0,0
9,998,2,0,0
10,998,2,0,0
11,997,3,0,0
12,997,3,0,0
13,997,3,0,0
14,997,3,0,0
15,997,3,0,0
16,997,3,0,0
17,997,3,0,0
18,996,4,0,0
19,996,4,0,0
20,996,4,0,0
21,996,4,0,0
22,996,4,0,0
23,995,5,0,0
24,995,5,0,0
25,995,5,0,0
26,994,6,0,0
27,994,6,0,0
28,994,6,0,0
29,992,8,0,0
30,991,9,0,0
31,990,10,0,0
32,990,10,0,0
33,989,11,0,0
34,988,12,0,0
35,987,13,0,0
36,987,13,0,0
37,987,13,0,0
38,986,14,0,0
39,986,14,0,0
40,986,14,0,0
41,984,16,0,0
42,984,16,0,0
43,983,17,0,0
44,983,17,0,0
45,981,19,0,0
46,980,20,0,0
47,980,20,0,0
48,979,21,0,0
49,978,22,0,0
50,978,22,0,0
51,978,22,0,0
52,978,22,0,0
53,978,22,0,0
54,977,23,0,0
55,977,23,0,0
56,976,24,0,0
57,976,24,0,0
58,976,24,0,0
59,976,24,0,0
60,975,25,0,0
61,975,25,0,0
62,974,26,0,0
63,974,26,0,0
64,972,28,0,0
65,971,29,0,0
66,970,30,0,0
67,969,31,0,0
68,968,32,0,0
69,968,32,0,0
70,967,33,0,0
71,967,33,0,0
72,967,33,0,0
73,967,33,0,0
74,965,35,0,0
75,963,37,0,0
76,960,40,0,0
77,958,42,0,0
78,957,43,0,0
79,956,44,0,0
80,955,45,0,0
81,954,46,0,0
82,950,50,0,0
83,949,51,0,0
84,945,55,0,0
85,942,58,0,0
86,936,64,0,0
87,934,66,0,0
88,931,69,0,0
89,930,70,0,0
90,930,70,0,0
91,927,73,0,0
92,926,74,0,0
93,924,76,0,0
94,921,79,0,0
95,919,81,0,0
96,919,81,0,0
97,914,86,0,0
98,910,90,0,0
99,909,91,0,0
100,907,93,0,0
101,906,94,0,0
102,905,95,0,0
103,902,98,0,0
104,898,102,0,0
105,897,103,0,0
