step,suceptible_status,infected_status,recovered_status,vaccinated_status
106,920,80,0,0
107,918,82,0,0
108,913,87,0,0
109,910,90,0,0
110,910,90,0,0
111,909,91,0,0
112,908,92,0,0
113,907,93,0,0
114,905,95,0,0
115,901,99,0,0
116,898,102,0,0
117,897,103,0,0
118,895,105,0,0
119,891,109,0,0
120,888,112,0,0
121,887,113,0,0
122,886,114,0,0
123,886,114,0,0
124,885,115,0,0
125,882,118,0,0
126,878,122,0,0
127,877,123,0,0
128,876,124,0,0
129,875,125,0,0
130,873,127,0,0
131,872,128,0,0
132,869,131,0,0
133,867,133,0,0
134,862,138,0,0
135,861,139,0,0
136,861,139,0,0
137,860,140,0,0
138,858,142,0,0
139,855,145,0,0
140,852,148,0,0
141,849,151,0,0
142,847,153,0,0
143,846,154,0,0
144,844,156,0,0
145,842,158,0,0
146,838,162,0,0
147,838,162,0,0
148,838,162,0,0
149,836,164,0,0
150,835,165,0,0
151,832,168,0,0
152,829,171,0,0
153,825,175,0,0
154,824,176,0,0
155,822,178,0,0
156,821,179,0,0
157,821,179,0,0
158,816,184,0,0
159,812,188,0,0
160,809,191,0,0
161,807,193,0,0
162,803,197,0,0
163,800,200,0,0
164,798,202,0,0
165,797,203,0,0
166,793,207,0,0
167,792,208,0,0
168,788,212,0,0
169,787,213,0,0
170,784,216,0,0
171,783,217,0,0
172,780,220,0,0
173,778,222,0,0
174,773,227,0,0
175,769,231,0,0
176,766,234,0,0
177,762,238,0,0
178,757,243,0,0
179,752,248,0,0
180,749,251,0,0
181,746,254,0,0
182,745,255,0,0
183,743,257,0,0
184,739,261,0,0
185,738,262,0,0
186,732,268,0,0
187,728,272,0,0
188,726,274,0,0
189,722,278,0,0
190,716,284,0,0
191,715,285,0,0
192,714,286,0,0
193,712,288,0,0
194,711,289,0,0
195,707,293,0,0
196,703,297,0,0
197,698,302,0,0
198,692,308,0,0
199,684,316,0,0
200,680,320,0,0
201,679,321,0,0
202,676,324,0,0
203,674,326,0,0
204,670,330,0,0
205,667,333,0,0
206,666,334,0,0
207,663,337,0,0
208,662,338,0,0
209,660,340,0,0
210,655,345,0,0
211,645,355,0,0
212,641,359,0,0
213,637,363,0,0
214,633,367,0,0
215,625,375,0,0
216,623,377,0,0
217,617,383,0,0
218,615,385,0,0
219,608,392,0,0
220,603,397,0,0
221,598,402,0,0
222,598,402,0,0
223,594,406,0,0
224,587,413,0,0
225,583,417,0,0
226,579,421,0,0
227,575,425,0,0
228,568,432,0,0
229,565,435,0,0
230,559,441,0,0
231,558,442,0,0
232,553,447,0,0
233,550,450,0,0
234,542,458,0,0
235,535,465,0,0
236,531,469,0,0
237,526,474,0,0
238,524,476,0,0
239,519,481,0,0
240,514,486,0,0
241,510,490,0,0
242,504,496,0,0
243,499,501,0,0
244,497,503,0,0
245,486,514,0,0
246,485,515,0,0
247,482,518,0,0
248,477,523,0,0
249,465,535,0,0
250,460,540,0,0
251,455,545,0,0
252,448,552,0,0
253,444,556,0,0
254,439,561,0,0
255,435,565,0,0
256,429,571,0,0
257,424,576,0,0
258,418,582,0,0
259,415,585,0,0
260,410,590,0,0
261,408,592,0,0
262,402,598,0,0
263,396,604,0,0
264,390,610,0,0
265,384,616,0,0
266,378,622,0,0
267,371,629,0,0
268,369,631,0,0
269,362,638,0,0
270,357,643,0,0
271,352,648,0,0
272,346,654,0,0
273,342,658,0,0
274,333,667,0,0
275,328,672,0,0
276,322,678,0,0
277,320,680,0,0
278,315,685,0,0
279,310,690,0,0
280,307,693,0,0
281,299,701,0,0
282,292,708,0,0
283,289,711,0,0
284,286,714,0,0
285,280,720,0,0
286,277,723,0,0
287,275,725,0,0
288,271,729,0,0
289,268,732,0,0
290,263,737,0,0
291,257,743,0,0
292,255,745,0,0
293,251,749,0,0
294,248,752,0,0
295,248,752,0,0
296,241,759,0,0
297,235,765,0,0
298,230,770,0,0
299,226,774,0,0
300,221,779,0,0
301,216,784,0,0
302,214,786,0,0
303,211,789,0,0
304,208,792,0,0
305,204,796,0,0
306,202,798,0,0
307,199,801,0,0
308,196,804,0,0
309,194,806,0,0
310,192,808,0,0
311,192,808,0,0
312,188,812,0,0
313,184,816,0,0
314,178,822,0,0
315,175,825,0,0
316,175,825,0,0
317,171,829,0,0
318,165,835,0,0
319,160,840,0,0
320,157,843,0,0
321,152,848,0,0
322,150,850,0,0
323,146,854,0,0
324,142,858,0,0
325,142,858,0,0
326,142,858,0,0
327,139,861,0,0
328,133,867,0,0
329,131,869,0,0
330,127,873,0,0
331,126,874,0,0
332,124,876,0,0
333,121,879,0,0
334,118,882,0,0
335,117,883,0,0
336,114,886,0,0
337,111,889,0,0
338,110,890,0,0
339,106,894,0,0
340,104,896,0,0
341,103,897,0,0
342,101,899,0,0
343,98,902,0,0
344,96,904,0,0
345,92,908,0,0
346,89,911,0,0
347,88,912,0,0
348,84,916,0,0
349,82,918,0,0
350,81,919,0,0
351,79,921,0,0
352,78,922,0,0
353,77,923,0,0
354,75,925,0,0
355,74,926,0,0
356,71,929,0,0
357,70,930,0,0
358,69,931,0,0
359,66,934,0,0
360,63,937,0,0
361,59,941,0,0
362,57,943,0,0
363,54,946,0,0
364,53,947,0,0
365,53,947,0,0
366,50,950,0,0
367,50,950,0,0
368,45,955,0,0
369,44,956,0,0
370,42,958,0,0
371,41,959,0,0
372,40,960,0,0
373,38,962,0,0
374,36,964,0,0
