step,suceptible_status,infected_status,recovered_status,vaccinated_status
317,347,653,0,0
318,341,659,0,0
319,338,662,0,0
320,331,669,0,0
321,324,676,0,0
322,320,680,0,0
323,308,692,0,0
324,304,696,0,0
325,299,701,0,0
326,291,709,0,0
327,285,715,0,0
328,281,719,0,0
329,274,726,0,0
330,270,730,0,0
331,266,734,0,0
332,258,742,0,0
333,253,747,0,0
334,246,754,0,0
335,244,756,0,0
336,240,760,0,0
337,237,763,0,0
338,233,767,0,0
339,229,771,0,0
340,227,773,0,0
341,221,779,0,0
342,218,782,0,0
343,216,784,0,0
344,211,789,0,0
345,209,791,0,0
346,204,796,0,0
347,198,802,0,0
348,190,810,0,0
349,188,812,0,0
350,186,814,0,0
351,186,814,0,0
352,184,816,0,0
353,183,817,0,0
354,180,820,0,0
355,178,822,0,0
356,174,826,0,0
357,171,829,0,0
358,168,832,0,0
359,164,836,0,0
360,161,839,0,0
361,159,841,0,0
362,156,844,0,0
363,154,846,0,0
364,152,848,0,0
365,150,850,0,0
366,146,854,0,0
367,144,856,0,0
368,139,861,0,0
369,134,866,0,0
370,133,867,0,0
371,131,869,0,0
372,129,871,0,0
373,125,875,0,0
374,122,878,0,0
375,121,879,0,0
376,121,879,0,0
377,118,882,0,0
378,113,887,0,0
379,113,887,0,0
380,109,891,0,0
381,108,892,0,0
382,106,894,0,0
383,104,896,0,0
384,101,899,0,0
385,100,900,0,0
386,97,903,0,0
387,96,904,0,0
388,94,906,0,0
389,92,908,0,0
390,90,910,0,0
391,88,912,0,0
392,86,914,0,0
393,85,915,0,0
394,82,918,0,0
395,81,919,0,0
396,80,920,0,0
397,76,924,0,0
398,73,927,0,0
399,73,927,0,0
400,71,929,0,0
401,70,930,0,0
402,69,931,0,0
403,66,934,0,0
404,64,936,0,0
405,63,937,0,0
406,62,938,0,0
407,61,939,0,0
408,59,941,0,0
409,59,941,0,0
410,56,944,0,0
411,56,944,0,0
412,56,944,0,0
413,53,947,0,0
414,53,947,0,0
415,53,947,0,0
416,51,949,0,0
417,51,949,0,0
418,49,951,0,0
419,48,952,0,0
420,46,954,0,0
421,44,956,0,0
422,42,958,0,0
