step,suceptible_status,infected_status,recovered_status,vaccinated_status
317,372,628,0,0
318,364,636,0,0
319,359,641,0,0
320,356,644,0,0
321,347,653,0,0
322,341,659,0,0
323,335,665,0,0
324,328,672,0,0
325,323,677,0,0
326,317,683,0,0
327,311,689,0,0
328,307,693,0,0
329,302,698,0,0
330,295,705,0,0
331,287,713,0,0
332,282,718,0,0
333,277,723,0,0
334,275,725,0,0
335,267,733,0,0
336,259,741,0,0
337,252,748,0,0
338,249,751,0,0
339,242,758,0,0
340,238,762,0,0
341,236,764,0,0
342,230,770,0,0
343,225,775,0,0
344,222,778,0,0
345,220,780,0,0
346,214,786,0,0
347,211,789,0,0
348,207,793,0,0
349,205,795,0,0
350,201,799,0,0
351,198,802,0,0
352,194,806,0,0
353,192,808,0,0
354,188,812,0,0
355,185,815,0,0
356,182,818,0,0
357,180,820,0,0
358,176,824,0,0
359,173,827,0,0
360,170,830,0,0
361,158,842,0,0
362,155,845,0,0
363,150,850,0,0
364,148,852,0,0
365,147,853,0,0
366,144,856,0,0
367,140,860,0,0
368,136,864,0,0
369,135,865,0,0
370,132,868,0,0
371,131,869,0,0
372,121,879,0,0
373,118,882,0,0
374,117,883,0,0
375,115,885,0,0
376,111,889,0,0
377,110,890,0,0
378,105,895,0,0
379,102,898,0,0
380,99,901,0,0
381,98,902,0,0
382,97,903,0,0
383,95,905,0,0
384,94,906,0,0
385,93,907,0,0
386,92,908,0,0
387,91,909,0,0
388,90,910,0,0
389,87,913,0,0
390,85,915,0,0
391,83,917,0,0
392,83,917,0,0
393,82,918,0,0
394,81,919,0,0
395,79,921,0,0
396,78,922,0,0
397,76,924,0,0
398,73,927,0,0
399,72,928,0,0
400,71,929,0,0
401,69,931,0,0
402,66,934,0,0
403,64,936,0,0
404,62,938,0,0
405,61,939,0,0
406,60,940,0,0
407,57,943,0,0
408,56,944,0,0
409,53,947,0,0
410,51,949,0,0
411,50,950,0,0
412,50,950,0,0
413,49,951,0,0
414,47,953,0,0
415,45,955,0,0
416,43,957,0,0
417,43,957,0,0
418,42,958,0,0
419,42,958,0,0
420,42,958,0,0
421,42,958,0,0
422,41,959,0,0
423,40,960,0,0
424,37,963,0,0
425,34,966,0,0
426,30,970,0,0
427,30,970,0,0
428,29,971,0,0
429,29,971,0,0
430,28,972,0,0
431,28,972,0,0
432,28,972,0,0
433,28,972,0,0
434,26,974,0,0
435,24,976,0,0
436,24,976,0,0
